Africa/Abidjan,rawOffset,0
Africa/Abidjan,transitions,-2208988800000_-1830383032000_2114380800000
Africa/Abidjan,offsets,-968000_0_0
Africa/Accra,rawOffset,0
Africa/Accra,transitions,-2208988800000_-1830383032000_2114380800000
Africa/Accra,offsets,-968000_0_0
Africa/Addis_Ababa,rawOffset,10800000
Africa/Addis_Ababa,transitions,-2208988800000_-1946168836000_-1309746600000_-1261969200000_-1041388200000_-865305900000_2114370000000
Africa/Addis_Ababa,offsets,8836000_9000000_10800000_9000000_9900000_10800000_10800000
Africa/Algiers,rawOffset,3600000
Africa/Algiers,transitions,-2208988800000_-1855958961000_-1689814800000_-1680397200000_-1665363600000_-1648342800000_-1635123600000_-1616893200000_-1604278800000_-1585443600000_-1574038800000_-1552266000000_-1539997200000_-1531443600000_-956365200000_-950486400000_-942012000000_-812502000000_-796262400000_-781052400000_-766630800000_-733280400000_-439430400000_-212029200000_41468400000_54774000000_231724800000_246236400000_259545600000_275274000000_309740400000_325468800000_341802000000_357523200000_2114377200000
Africa/Algiers,offsets,561000_0_3600000_0_3600000_0_3600000_0_3600000_0_3600000_0_3600000_0_3600000_0_3600000_7200000_3600000_7200000_3600000_0_3600000_0_3600000_0_3600000_3600000_7200000_3600000_0_3600000_0_3600000_3600000
Africa/Asmara,rawOffset,10800000
Africa/Asmara,transitions,-2208988800000_-1946168836000_-1309746600000_-1261969200000_-1041388200000_-865305900000_2114370000000
Africa/Asmara,offsets,8836000_9000000_10800000_9000000_9900000_10800000_10800000
Africa/Asmera,rawOffset,10800000
Africa/Asmera,transitions,-2208988800000_-1946168836000_-1309746600000_-1261969200000_-1041388200000_-865305900000_2114370000000
Africa/Asmera,offsets,8836000_9000000_10800000_9000000_9900000_10800000_10800000
Africa/Bamako,rawOffset,0
Africa/Bamako,transitions,-2208988800000_-1830383032000_2114380800000
Africa/Bamako,offsets,-968000_0_0
Africa/Bangui,rawOffset,3600000
Africa/Bangui,transitions,-2208988800000_-2035584815000_-1940889600000_-1767226415000_-1588465800000_2114377200000
Africa/Bangui,offsets,815000_0_815000_1800000_3600000_3600000
Africa/Banjul,rawOffset,0
Africa/Banjul,transitions,-2208988800000_-1830383032000_2114380800000
Africa/Banjul,offsets,-968000_0_0
Africa/Bissau,rawOffset,0
Africa/Bissau,transitions,-2208988800000_-1830380400000_157770000000_2114380800000
Africa/Bissau,offsets,-3740000_-3600000_0_0
Africa/Blantyre,rawOffset,7200000
Africa/Blantyre,transitions,-2208988800000_-1924999818000_2114373600000
Africa/Blantyre,offsets,7818000_7200000_7200000
Africa/Brazzaville,rawOffset,3600000
Africa/Brazzaville,transitions,-2208988800000_-2035584815000_-1940889600000_-1767226415000_-1588465800000_2114377200000
Africa/Brazzaville,offsets,815000_0_815000_1800000_3600000_3600000
Africa/Bujumbura,rawOffset,7200000
Africa/Bujumbura,transitions,-2208988800000_-1924999818000_2114373600000
Africa/Bujumbura,offsets,7818000_7200000_7200000
Africa/Cairo,rawOffset,7200000
